awareness_id,date_id,region_id,unaided_awareness_pct,aided_awareness_pct,brand_preference_pct,purchase_intent_pct,sample_size,survey_provider,notes
BA001,202405,R01,52,78,31,24,850,Kantar,Baseline survey
BA002,202405,R02,44,71,27,20,720,Kantar,Baseline survey
BA003,202405,R03,48,74,29,22,680,Kantar,Baseline survey
BA004,202405,R04,38,62,22,17,420,Nielsen,Baseline survey
BA005,202405,R05,35,58,20,15,380,Nielsen,Baseline survey
BA006,202406,R01,53,79,32,25,855,Kantar,
BA007,202406,R02,45,72,27,21,725,Kantar,
BA008,202406,R03,49,75,30,23,685,Kantar,
BA009,202406,R04,39,63,23,17,422,Nielsen,
BA010,202406,R05,36,59,20,15,382,Nielsen,
BA011,202407,R01,55,80,33,26,860,Kantar,Competitor launched campaign
BA012,202407,R02,45,72,28,21,728,Kantar,Competitor launched campaign
BA013,202407,R03,49,75,30,23,688,Kantar,
BA014,202407,R04,39,63,23,18,424,Nielsen,
BA015,202407,R05,36,59,21,15,384,Nielsen,
BA016,202408,R01,56,81,34,27,862,Kantar,
BA017,202408,R02,46,73,28,22,730,Kantar,
BA018,202408,R03,50,76,31,24,690,Kantar,
BA019,202408,R04,40,64,24,18,426,Nielsen,
BA020,202408,R05,36,60,21,16,385,Nielsen,Delayed survey — data quality flagged
BA021,202409,R01,57,82,35,27,865,Kantar,
BA022,202409,R02,47,73,29,22,732,Kantar,
BA023,202409,R03,50,76,31,24,692,Kantar,
BA024,202409,R04,40,64,24,18,428,Nielsen,
BA025,202409,R05,37,60,21,16,387,Nielsen,
BA026,202410,R01,58,83,35,28,868,Kantar,Pre-peak brand push
BA027,202410,R02,47,74,29,23,734,Kantar,Pre-peak brand push
BA028,202410,R03,51,77,32,25,694,Kantar,
BA029,202410,R04,41,65,24,19,430,Nielsen,
BA030,202410,R05,37,61,22,16,388,Nielsen,
BA031,202411,R01,60,84,36,29,870,Kantar,Current period start
BA032,202411,R02,48,75,30,23,736,Kantar,
BA033,202411,R03,52,78,32,25,696,Kantar,
BA034,202411,R04,41,65,25,19,432,Nielsen,
BA035,202411,R05,38,61,22,16,390,Nielsen,
BA036,202412,R01,62,85,37,30,872,Kantar,Holiday dip offset by campaign
BA037,202412,R02,48,75,30,23,738,Kantar,Flat month — budget paused
BA038,202412,R03,52,78,32,25,698,Kantar,
BA039,202412,R04,41,65,25,19,433,Nielsen,Below-target — South Asia review needed
BA040,202412,R05,38,62,22,16,391,Nielsen,
BA041,202501,R01,63,86,38,31,874,Kantar,
BA042,202501,R02,49,76,31,24,740,Kantar,
BA043,202501,R03,53,79,33,26,700,Kantar,
BA044,202501,R04,42,66,25,19,435,Nielsen,
BA045,202501,R05,38,62,22,16,392,Nielsen,
BA046,202502,R01,65,87,39,32,876,Kantar,Digital First campaign launched
BA047,202502,R02,50,77,31,24,742,Kantar,
BA048,202502,R03,54,80,33,26,702,Kantar,
BA049,202502,R04,42,66,26,20,436,Nielsen,Slight uptick post-event
BA050,202502,R05,39,62,23,17,393,Nielsen,
BA051,202503,R01,67,88,40,33,878,Kantar,
BA052,202503,R02,51,78,32,25,744,Kantar,
BA053,202503,R03,55,80,34,27,704,Kantar,
BA054,202503,R04,43,67,26,20,438,Nielsen,
BA055,202503,R05,39,63,23,17,394,Nielsen,
BA056,202504,R01,70,90,42,35,880,Kantar,Quarter-end survey
BA057,202504,R02,52,78,33,25,746,Kantar,
BA058,202504,R03,56,81,34,27,706,Kantar,
BA059,202504,R04,44,68,27,21,440,Nielsen,Still lagging target 50%
BA060,202504,R05,40,63,23,17,395,Nielsen,
