social_id,date_id,channel_id,followers,new_followers,impressions,engagements,engagement_rate_pct,video_views,link_clicks,top_post_topic,notes
SP001,202405,CH02,148000,1200,2800000,56000,2.0,0,22400,Network expansion,LinkedIn baseline
SP002,202406,CH02,149500,1500,2900000,58000,2.0,0,23200,Port coverage,
SP003,202407,CH02,151200,1700,3000000,60000,2.0,0,24000,Reefer services,
SP004,202408,CH02,153000,1800,3100000,62000,2.0,0,24800,Reefer services,
SP005,202409,CH02,155000,2000,3200000,64000,2.0,0,25600,Trade lane coverage,
SP006,202410,CH02,157200,2200,3400000,71400,2.1,0,27200,Peak season readiness,Pre-peak content lift
SP007,202411,CH02,160000,2800,4200000,100800,2.4,0,33600,Reefer campaign,Campaign launch spike
SP008,202412,CH02,162000,2000,3800000,76000,2.0,0,30400,Reefer services,Dec slowdown
SP009,202501,CH02,165500,3500,5500000,165000,3.0,0,44000,Digital transformation,Digital First — best engagement month
SP010,202501,CH08,22000,800,1200000,36000,3.0,480000,9600,DG cargo safety,YouTube DG — good views
SP011,202502,CH02,169000,3500,6200000,186000,3.0,0,49600,ESG & sustainability,ESG content — sustained engagement
SP012,202502,CH08,23200,1200,1800000,54000,3.0,720000,14400,Sustainability pledge,YouTube ESG best month
SP013,202503,CH02,172800,3800,6800000,217600,3.2,0,54400,Project Cargo + ESG,
SP014,202503,CH08,24600,1400,2100000,67200,3.2,840000,16800,Project cargo stories,
SP015,202504,CH02,177000,4200,7400000,251600,3.4,0,59200,Project Cargo leadership,Best month — 3.4% engagement rate
SP016,202504,CH08,26200,1600,2400000,81600,3.4,960000,19200,MSC sustainability milestone,YouTube — strong close to ESG campaign
