web_id,date_id,region_id,channel_id,sessions,unique_visitors,avg_session_duration_sec,bounce_rate_pct,pages_per_session,enquiry_submissions,enquiry_conversion_pct,top_landing_page,notes
WP001,202405,R01,CH01,42000,31000,148,58,2.8,882,2.1,/cargo/schedules,
WP002,202405,R01,CH03,18000,16000,95,72,1.8,270,1.5,/cargo/rates,High bounce on rates page
WP003,202405,R02,CH01,28000,20000,140,60,2.7,560,2.0,/cargo/schedules,
WP004,202405,R03,CH01,24000,17000,135,62,2.6,432,1.8,/cargo/reefer,
WP005,202405,R04,CH01,12000,8500,120,65,2.4,180,1.5,/cargo/services,
WP006,202405,R05,CH01,9000,6200,115,68,2.3,117,1.3,/cargo/services,
WP007,202406,R01,CH01,43500,32000,150,57,2.9,914,2.1,/cargo/schedules,
WP008,202406,R01,CH03,18500,16500,97,71,1.9,278,1.5,/cargo/rates,
WP009,202406,R02,CH01,29000,21000,142,59,2.7,580,2.0,/cargo/schedules,
WP010,202406,R03,CH01,25000,18000,137,61,2.6,450,1.8,/cargo/reefer,
WP011,202406,R04,CH01,12500,8800,122,64,2.4,188,1.5,/cargo/services,
WP012,202406,R05,CH01,9200,6400,117,67,2.3,120,1.3,/cargo/services,
WP013,202407,R01,CH01,44000,33000,152,56,3.0,924,2.1,/cargo/schedules,Competitor disruption — traffic spike
WP014,202407,R01,CH03,19000,17000,98,70,1.9,285,1.5,/cargo/rates,
WP015,202407,R02,CH01,30000,22000,144,58,2.8,600,2.0,/cargo/schedules,
WP016,202407,R03,CH01,25500,18500,138,60,2.7,459,1.8,/cargo/reefer,
WP017,202407,R04,CH01,13000,9000,124,63,2.5,195,1.5,/cargo/services,
WP018,202407,R05,CH01,9500,6600,118,66,2.4,124,1.3,/cargo/services,
WP019,202408,R01,CH01,45000,34000,154,55,3.0,945,2.1,/cargo/schedules,
WP020,202408,R01,CH03,19500,17500,100,69,2.0,293,1.5,/cargo/rates,
WP021,202408,R02,CH01,31000,23000,146,57,2.8,620,2.0,/cargo/schedules,
WP022,202408,R03,CH01,26000,19000,140,59,2.7,468,1.8,/cargo/reefer,
WP023,202408,R04,CH01,13500,9300,126,62,2.5,203,1.5,/cargo/services,
WP024,202408,R05,CH01,9800,6800,120,65,2.4,127,1.3,/cargo/services,Low engagement — CTA review needed
WP025,202409,R01,CH01,46000,35000,156,54,3.1,966,2.1,/cargo/schedules,
WP026,202409,R01,CH03,20000,18000,102,68,2.0,300,1.5,/cargo/rates,
WP027,202409,R02,CH01,32000,24000,148,56,2.9,640,2.0,/cargo/schedules,
WP028,202409,R03,CH01,27000,20000,142,58,2.8,486,1.8,/cargo/reefer,
WP029,202409,R04,CH01,14000,9600,128,61,2.5,210,1.5,/cargo/services,
WP030,202409,R05,CH01,10000,7000,122,64,2.4,130,1.3,/cargo/services,
WP031,202410,R01,CH01,48000,36500,158,53,3.1,1008,2.1,/cargo/schedules,Pre-peak lift
WP032,202410,R01,CH03,21000,18500,104,67,2.1,315,1.5,/cargo/rates,
WP033,202410,R02,CH01,33000,25000,150,55,2.9,660,2.0,/cargo/schedules,
WP034,202410,R03,CH01,28000,21000,144,57,2.8,504,1.8,/cargo/reefer,
WP035,202410,R04,CH01,14500,10000,130,60,2.6,218,1.5,/cargo/services,
WP036,202410,R05,CH01,10500,7200,124,63,2.4,137,1.3,/cargo/services,
WP037,202411,R01,CH01,50000,38000,160,52,3.2,1100,2.2,/cargo/reefer,Reefer campaign launched
