perf_id,date_id,campaign_id,channel_id,impressions,clicks,ctr_pct,spend_usd,leads_generated,mqls,cost_per_mql_usd,revenue_influenced_usd,roi_x,brand_lift_pct,notes
CP001,202411,C001,CH01,820000,18040,2.2,42000,360,270,155.6,1050000,25.0,1.8,Reefer launch — strong EMEA response
CP002,202411,C001,CH02,1200000,14400,1.2,18000,180,120,150.0,480000,26.7,2.1,LinkedIn reefer — good engagement
CP003,202411,C001,CH03,420000,12600,3.0,22000,210,168,131.0,672000,30.5,1.5,Brand search uplift
CP004,202411,C002,CH03,980000,17640,1.8,35000,280,196,178.6,784000,22.4,1.2,Asia-Europe — competitive CPC
CP005,202411,C002,CH05,0,0,0.0,8000,40,24,333.3,96000,12.0,0.8,Trade press — low MQL volume
CP006,202412,C001,CH01,790000,15800,2.0,40000,316,221,181.0,884000,22.1,1.6,Dec slowdown
CP007,202412,C001,CH06,380000,7600,2.0,6000,152,106,56.6,424000,70.7,0.9,Email best performer Dec
CP008,202412,C002,CH04,1100000,16500,1.5,38000,248,149,255.0,596000,15.7,0.9,Generic search — high CPC flagged
CP009,202501,C003,CH02,2200000,33000,1.5,45000,440,308,146.1,1232000,27.4,3.2,Digital First launch — LinkedIn spike
CP010,202501,C003,CH08,1800000,18000,1.0,22000,180,108,203.7,432000,19.6,2.8,YouTube — awareness strong, MQL low
CP011,202501,C003,CH09,3500000,35000,1.0,28000,210,126,222.2,504000,18.0,1.4,Programmatic — retargeting underperforming
CP012,202501,C004,CH01,650000,13000,2.0,30000,195,137,218.9,548000,18.3,1.1,DG — niche but quality leads
CP013,202502,C003,CH02,2400000,36000,1.5,48000,480,336,142.9,1344000,28.0,3.5,ESG theme — high engagement
CP014,202502,C005,CH05,0,0,0.0,18000,72,43,418.6,172000,9.6,1.8,Trade press ESG — ROI below target
CP015,202502,C005,CH08,2000000,22000,1.1,25000,220,132,189.4,528000,21.1,2.2,YouTube sustainability
CP016,202503,C005,CH02,2600000,41600,1.6,52000,520,364,142.9,1456000,28.0,3.8,Sustainability peak engagement
CP017,202503,C006,CH01,720000,14400,2.0,34000,216,151,225.2,604000,17.8,1.3,Project Cargo — long sales cycle noted
CP018,202503,C006,CH03,550000,16500,3.0,28000,330,231,121.2,924000,33.0,1.6,Brand search — Project Cargo performing
CP019,202504,C005,CH02,2800000,47600,1.7,56000,560,392,142.9,1568000,28.0,4.0,Final ESG push — best month
CP020,202504,C006,CH01,800000,16000,2.0,38000,240,168,226.2,672000,17.7,1.4,Project Cargo closing month
CP021,202504,C006,CH05,0,0,0.0,12000,48,29,413.8,116000,9.7,0.7,Trade press Project Cargo — low ROI
