email_id,date_id,region_id,campaign_id,sends,deliveries,open_rate_pct,click_rate_pct,unsubscribe_rate_pct,bounce_rate_pct,conversions,revenue_influenced_usd,subject_line,notes
EM001,202411,R01,C001,12000,11760,28.5,4.2,0.3,2.0,148,592000,Introducing MSC Reefer Excellence — your cold chain partner,Strong open rate
EM002,202411,R02,C001,8000,7840,24.2,3.5,0.4,2.0,82,328000,Cold chain reliability starts here,Average performance
EM003,202411,R03,C001,7000,6860,26.1,3.8,0.3,2.0,78,312000,MSC Reefer: Asia coverage you can count on,
EM004,202412,R01,C001,12500,12250,22.4,3.0,0.3,2.0,110,440000,December shipping update — Reefer slots available,Holiday dip in opens
EM005,202501,R01,C003,15000,14700,31.2,5.1,0.2,2.0,224,896000,The future of cargo is digital — MSC leads the way,Best open rate — subject line test winner
EM006,202501,R01,C004,6000,5880,24.8,3.2,0.4,2.0,56,224000,Dangerous Goods: MSC's certified expertise,Niche list — high quality
EM007,202502,R01,C005,14000,13720,29.8,4.8,0.2,2.0,197,788000,MSC commits to net-zero — here's our plan,ESG content performing well
EM008,202502,R02,C005,9000,8820,23.5,3.3,0.4,2.0,87,348000,Sustainable shipping for your business,Below benchmark — A/B test needed
EM009,202503,R01,C005,14500,14210,28.4,4.5,0.2,2.0,191,764000,Our sustainability milestones — March update,
EM010,202503,R01,C006,5000,4900,26.2,3.8,0.3,2.0,56,224000,MSC Project Cargo: from concept to delivery,Small list but engaged
EM011,202504,R01,C005,15000,14700,30.1,4.9,0.2,2.0,216,864000,Final ESG chapter: what we achieved together,Strong close to campaign
EM012,202504,R02,C006,7500,7350,21.8,2.9,0.5,2.0,64,256000,Project Cargo quarterly brief,Low CTR — template review flagged
